"R_region","R_age","R_edu","R_income","R_health","R_height","R_happy","A_height","A_edu","A_income"
"Northeast",54,"Senior high school",900,"Good",165,"Somewhat happy",172,"Senior high school",500
"Northeast",46,"Senior high school",500,"Fair",156,"Somewhat happy",170,"Senior high school",800
"Northeast",48,"Senior high school",800,"Good",163,"Somewhat happy",172,"Junior high school",700
"Northeast",46,"Junior high school",300,"Fair",164,"Somewhat happy",174,"Elementary school",700
"Northeast",45,"Junior high school",300,"Fair",162,"Somewhat happy",172,"Junior high school",400
"Northeast",36,"Senior high school",500,"Excellent",161,"Somewhat happy",180,"Junior college",900
"Northeast",48,"Junior high school",0,"Not good",167,"Very happy",168,"Junior high school",300
"Northeast",36,"Junior high school",100,"Good",156,"Not too happy",173,"Senior high school",800
"Northeast",20,"Junior high school",200,"Fair",158,"Not too happy",178,"Junior college",200
"Northeast",30,"Senior high school",400,"Good",160,"Somewhat happy",176,"Senior high school",600
"Northeast",43,"Junior high school",300,"Not good",156,"Not too happy",174,"Junior high school",200
"Northeast",40,"Junior high school",0,"Fair",165,"Somewhat happy",170,"Junior high school",400
"Northeast",36,"Junior high school",200,"Good",158,"Somewhat happy",172,"Junior high school",500
"Northeast",35,"Senior high school",300,"Excellent",160,"Somewhat happy",176,"Senior high school",200
"Northeast",39,"Junior college",3000,"Fair",158,"Somewhat happy",181,"Junior college",800
"Northeast",36,"Junior college",0,"Fair",168,"Somewhat happy",176,"University",500
"Northeast",34,"Senior high school",500,"Excellent",163,"Somewhat happy",173,"Senior high school",500
"Northeast",45,"Junior high school",0,"Not good",160,"Not too happy",180,"Junior high school",600
"Northeast",36,"Senior high school",0,"Excellent",155,"Somewhat happy",170,"Junior high school",0
"Northeast",49,"Junior high school",500,"Not good",165,"Very happy",170,"Junior high school",200
"Northeast",33,"Junior high school",400,"Fair",155,"Not too happy",177,"Junior high school",0
"Northeast",43,"Junior high school",50,"Good",166,"Not too happy",177,"Junior high school",600
"Northeast",33,"Senior high school",200,"Good",168,"Not too happy",180,"Senior high school",200
"Northeast",42,"Junior high school",400,"Good",155,"Somewhat happy",165,"Junior high school",400
"Northeast",39,"Junior high school",400,"Good",157,"Somewhat happy",172,"Junior high school",500
"Northeast",44,"Senior high school",400,"Not good",171,"Very unhappy",174,"Junior high school",0
