gender,age,height,weight
남,25,1736,72.1
남,28,1833,106.2
남,19,1744,69.1
남,20,1751,68.4
남,22,1851,81.9
남,23,1781,93.5
남,24,1838,99.6
남,24,1915,86.7
남,27,1729,74.7
남,26,1639,72.5
남,20,1769,66.1
남,26,1751,79.4
남,20,1736,80.8
남,28,1850,80.3
남,23,1670,70.6
남,26,1729,69.8
남,21,1718,64.4
남,25,1835,86.1
남,21,1724,73.6
남,25,1645,58.6
남,28,1786,75.2
남,60,1764,85.5
남,19,1686,60.8
남,22,1765,69.8
남,24,1764,68.3
남,20,1751,80.7
남,19,1766,71.9
남,23,1730,81
남,21,1794,102.1
남,22,1724,68.2
남,26,1757,78.5
남,19,1755,63.4
남,18,1699,62.1
남,26,1678,68.7
남,23,1804,65.6
남,24,1722,69.2
남,22,1777,80
남,26,1750,77
남,25,1773,73.2
남,25,1818,74.8
남,28,1778,94.9
남,26,1786,72.8
남,27,1770,74.1
남,26,1765,78.3
여,20,1560,50.1
여,31,1544,46.1
여,19,1600,56.4
여,21,1656,57.8
여,55,1661,76
여,22,1669,54.9
여,45,1621,52
여,27,1657,51.7
여,22,1711,65.4
여,20,1637,45.3
여,55,1539,57.8
여,56,1551,55.3
여,19,1560,50.8
여,44,1570,46.7
여,60,1626,66.2
여,64,1494,55
여,20,1690,47.9
남,16,1720,62.5
남,16,1657,59.2
남,16,1736,68.6
남,16,1626,55.8
남,16,1740,76.7
남,16,1738,60
남,16,1707,58.2
남,16,1754,58
남,16,1852,63.2
남,16,1615,52.2
남,16,1735,75
남,16,1718,73.8
남,16,1679,83.3
남,16,1730,67.7
남,16,1721,60.1
남,16,1736,79.9
남,15,1714,65.9
남,16,1710,57.6
남,16,1754,77.5
남,16,1795,57.3
남,16,1690,53.4
남,15,1614,55.9
남,16,1755,74.3
남,16,1756,55.6
남,15,1749,63.4
남,16,1811,111.4
남,16,1756,71.3
남,16,1711,66.7
남,16,1724,72.4
남,16,1710,57.5
남,17,1700,61.7
남,17,1726,61.1
남,17,1651,47.6
남,16,1711,59.3
남,17,1725,78.3
남,17,1828,72.8
남,17,1726,54
남,17,1710,55.5
남,17,1644,57.8
남,17,1750,52.5
남,17,1746,57.1
남,17,1661,56
남,17,1730,79.6
남,17,1740,66.7
여,16,1629,56.1
여,16,1644,47.2
여,16,1542,50.7
여,16,1644,44.2
여,16,1575,51
여,16,1564,45.2
여,16,1634,60.9
여,17,1660,59.8
여,16,1574,49.7
여,16,1613,49.4
여,16,1604,45.4
여,15,1594,46.1
여,16,1610,56.2
여,16,1634,80.8
여,16,1512,50.1
여,16,1541,43.3
여,16,1594,52.4
여,16,1681,64.1
여,16,1644,64
여,16,1585,48.7
여,16,1643,55.4
여,16,1633,49.7
여,16,1556,65.3
여,16,1630,54.6
여,16,1651,64.1
여,15,1581,47.9
여,16,1646,57.3
여,16,1666,58.1
여,16,1621,53.8
여,16,1576,47.8
여,16,1660,62.2
여,16,1605,62.4
여,15,1520,54
남,16,1706,55
남,16,1770,61
남,16,1627,48.9
남,16,1770,86.6
남,16,1683,55.3
남,16,1630,68
남,16,1643,53.7
남,16,1805,76.6
남,16,1789,71.9
남,16,1790,62.3
남,15,1697,58.3
남,16,1627,51
남,16,1706,58.4
남,16,1808,75.3
여,16,1575,60.1
여,17,1555,53.5
여,17,1646,57.9
여,17,1542,51.8
여,17,1604,59.2
여,17,1599,55.1
여,17,1640,45.1
여,17,1570,44.2
여,17,1690,53.2
여,17,1634,55
여,17,1664,54.6
여,17,1605,63.3
여,17,1609,51.5
여,17,1586,78.4
여,17,1575,51
여,17,1626,54.3
여,16,1598,49.2
여,17,1621,71.8
여,17,1621,53.5
여,17,1594,44.6
여,17,1680,56.3
여,17,1639,54.5
여,17,1597,52.3
여,17,1583,47.7
여,17,1628,56.8
여,17,1545,45.1
여,17,1518,49.4
여,17,1621,59.2
여,17,1687,59.6
여,16,1607,61.2
여,17,1569,41.4
여,16,1560,50.1
여,17,1584,49.5
여,17,1580,49.6
여,17,1527,49.2
여,17,1651,61.8
여,17,1605,49.2
여,17,1665,63.5
여,17,1558,49.7
여,16,1561,57.9
여,16,1583,56.6
여,16,1561,52.5
여,16,1600,61.4
남,17,1783,76.3
남,17,1801,80.4
남,17,1830,68.4
남,17,1745,61.4
남,17,1717,72.3
남,17,1760,62.6
남,17,1725,72.1
남,17,1702,59.8
남,16,1750,64.8
남,17,1678,66
남,17,1696,61.3
남,17,1788,60.2
남,17,1705,53.2
